# 출처: https://datalaw.kr/mediation/ · 수집일 2026-09-11 · 개인정보분쟁조정위원회 공개 사례에서 기계 추출한 요약으로 정확성을 보증하지 않습니다. 근거로 쓰기 전에 위원회 원문을 확인하십시오 · 정정 요청: hyunsub.lee@seumlaw.com
연번,연도,구분,침해유형,제목,손해배상 금액,결론,판단 이유,인용 조문,원문,행 주소
183,2022,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,개인정보 유출에 대한 손해배상 등 요구,,"재발방지 조치, 손해배상 기각","이메일은 다른 정보와 결합하여 특정 개인을 알아볼 수 있는 정보이므로 개인정보에 해당하며, 피신청인은 사생활 침해를 최소화하는 방법으로 개인정보를 처리하지 못하여 보호법 위반으로 판단됨",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1632&VA=content,https://datalaw.kr/mediation/#m-1632
184,2022,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,개인정보 유출에 대한 손해배상 및 재발방지 요구,30만원,손해배상(30만원),신청인들이 자신의 개인정보가 흥신소에 노출됨에 따라 2차 피해의 발생 가능성에 대한 두려움을 느끼는 등 정신적 고통을 겪었음이 인정됨,제28조 · 제29조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1631&VA=content,https://datalaw.kr/mediation/#m-1631
185,2022,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,키오스크 운용 과정에서의 개인정보 유출 등에 대한 손해배상 등 요구,,기각,"키오스크 및 대기 모니터에 개인정보가 표시된 것을 개인정보 유출로 볼 수 없고, 신청인에 대한 본인확인은 개인정보 수집이 아니므로 최소 수집 원칙에 위반되지 않고, 신청인의 촬영 및 녹음 중단을 권고한 것을 개인정보 열람청구권 침해라고 볼 수 없음",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1630&VA=content,https://datalaw.kr/mediation/#m-1630
186,2022,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,휴대전화번호 인증에 의한 메일계정 생성 과정에서의 개인정보 침해사실 인정 및 재발방지 조치 이행 요구,,재발방지 조치,사회통념상 신청인의 근로계약 내용에 회사업무용 이메일 계정 생성을 위해 개인정보를 제공하는 것까지 포함된다고 보기는 어려워 개인정보를 수집한 목적 범위를 초과하여 이용한 것에 해당함,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1629&VA=content,https://datalaw.kr/mediation/#m-1629
187,2022,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,도시가스 미납요금을 동의 없이 이미 등록된 카드정보를 활용하여 결제한 것에 대한 손해배상 등 요구,,기각,신청인이 선택한 요금납부 방법과 사용료 지급을 위해 제공한 개인정보에 따라 피신청인2가 이 사건 카드정보를 미납금 결제에 이용한 행위는 「개인정보 보호법」 제15조 개인정보의 수집목적 범위 내 이용에 해당함,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1628&VA=content,https://datalaw.kr/mediation/#m-1628
188,2022,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,민원접수 시 수집한 개인정보를 목적 외 이용한 행위에 대한 손해배상 등 요구,,기각,"피신청인의 이메일ID 검색행위 관련 신청인의 이메일이 온라인 사이트에 등록되어 있으며, 수집된 이메일을 인터넷으로 검색하여 계약 위반행위 등을 통지한 사실 등을 고려할 때 사회상규에 반하지 않는 행위라고 보여짐",제15조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1627&VA=content,https://datalaw.kr/mediation/#m-1627
189,2022,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,신청인의 개인정보를 유출한 것에 대한 손해배상 등 요구,,,이 사건 팝업창에 표시되었다고 주장되는 주민등록번호 등은 신청인이 직접 금융인증서를 통해 이 사건 앱에 로그인한 후 스마트폰에 나타난 것임,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1626&VA=content,https://datalaw.kr/mediation/#m-1626
190,2022,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,주민등록법을 위반한 주민등록 등ㆍ초본 교부에 대한 손해배상 및 해당 자료 폐기와 목적외 이용 금지 요구,,기각,"피신청인2는 「토지보상법」 제8조에 따라 세입자에 대한 보상금 산정 및 지급을 위하여 피신청인1에게 이 사건 주민등록 등·초본 발급을 요청하였고, 피신청인1은 「주민등록법」 제29조에 따라 이를 발급해 준 것으로 위법이 아님",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1625&VA=content,https://datalaw.kr/mediation/#m-1625
191,2022,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,학습데이터에 개인정보 이용 사실 확인 및 이용된 개인정보의 열람 요구,,기각,피신청인2는 모든 학습데이터를 파기한 것으로 확인되어 누구의 데이터를 이용했는지 특정할 수 있는 선정기준이 없으며 신청인들이 안면정보를 다시 제공하더라도 이를 비교·대조할 원본 학습용 데이터도 없으므로…,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1624&VA=content,https://datalaw.kr/mediation/#m-1624
192,2022,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,신청인의 개인정보를 제3자에게 제공한 것에 대한 손해배상 등 요구,100만원,"손해배상(100만원), 재발방지 조치",피신청인이 법원의 문서제출명령 범위에 포함되지 않은 신청인의 요청서를 법원에 제출한 것은 「개인정보 보호법」 제18조 제1항 위반. 피신청인이 신청인 명의가 아닌 택배거래내역까지 법원에 제출한 것은 「개인정보 보호법」 제3조 위반,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1623&VA=content,https://datalaw.kr/mediation/#m-1623
193,2022,조정결정사례,동의 없는 개인정보 수집,동의 없는 개인정보 수집·이용 등에 대한 손해배상 등 요구,,기각,피신청인은 「개인정보 보호법」 제15조 제1항 제2호에 따른 「정보통신망법」 제50조의4 제4항에 근거하여 정보통신망이나 서비스의 취약점을 개선하는 등 필요한 조치를 취할 의무가 있으므로 신청인 동의 없이 개인정보 수집이용 가능,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1622&VA=content,https://datalaw.kr/mediation/#m-1622
194,2022,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,신청인 및 신청인의 배우자 등의 개인정보를 제3자에게 제공한 행위에 대한 손해배상 등 요구,,기각,"이 사건 관련 문자 정보·녹취록 정보는 신청인의 개인정보에 해당되나, 개인정보파일로 보기에는 어려움이 있으므로 피신청인은 개인정보처리자의 지위에 있지 않아 보호법상 개인정보 수집·이용에 대한 적용을 받지 않음",제59조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1621&VA=content,https://datalaw.kr/mediation/#m-1621
195,2022,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,휴대폰의 마케팅 수신을 거부하였으나 전송한 행위에 대한 손해배상 등 요구,"300,000원","손해배상(30만원), 재발방지 조치","피신청인이 제출한 개인정보처리 동의 자료에는 신청인의 자필서명 등 동의 여부를 확인할 수 없고, 전산기록에 신청인이 광고정보 제공에 동의를 하였다는 사실만 있음",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1579&VA=content,https://datalaw.kr/mediation/#m-1579
196,2022,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,신청인의 개인정보를 제3자에게 제공한 행위에 대한 침해행위의 중지 등 요구,,기각,"신청인이 팩스 및 인터넷주소 링크를 통해 개인정보처리동의서를 제출한 것이 피신청인의 소명자료에서 확인되고, 이 자료에 신청인 자녀의 법정대리인인 신청인 자필서명이 기재되어 있으므로, 개인정보 처리 동의를 적법하게 받은 것으로 보임",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1576&VA=content,https://datalaw.kr/mediation/#m-1576
197,2022,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,신청인의 휴대전화와 교신한 기지국의 위치정보 열람 요구,,열람 조치,"개인의 휴대전화와 연결된 기지국 정보는 해당 개인의 방문 지역 등 동선을 파악할 수 있는 정보로서, 다른 정보와 쉽게 결합하여 해당 개인을 알아볼 수 있으므로「개인정보 보호법」제2조 제1호에서 규정하는 개인정보에 해당함",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1575&VA=content,https://datalaw.kr/mediation/#m-1575
198,2022,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,전세계약으로 수집한 신청인의 개인정보 삭제 요구,,기각,"「개인정보 보호법」제36조 제1항은 정보주체가 개인정보처리자에게 자신의 개인정보의 삭제를 요구할 수 있다고 하면서, 다른 법령에서 그 개인정보가 수집 대상으로 명시되어 있는 경우에는 그 삭제를 요구할 수 없다고 규정하고 있음",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1574&VA=content,https://datalaw.kr/mediation/#m-1574
199,2022,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,신청인의 개인정보를 제3자에게 제공한 행위에 대한 손해배상 및 재발방지 조치 요구,,기각,"담당자 A, B 모두 손실보상 TF 근무자로서 손실보상 업무를 함께 수행한 것이 제출 자료에서 확인되고, 피신청인은 A, B 모두에 대한 지휘·감독권과 함께 개인정보에 대한 처리 권한을 가지고 있으므로…",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1573&VA=content,https://datalaw.kr/mediation/#m-1573
200,2022,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,개인정보 유출에 대한 손해배상 등 요구,"10만원; 100,000원","손해배상(10만원), 재발방지 조치","피신청인은 당사자 이외의 개인정보는 전송되지 않도록 내부관리 지침을 강화하고, 업무 담당자에 대한 관리 감독을 철저히 하는 등 개인정보가 안전하게 관리되도록 이행하지 못한 책임이 있음. 다만, 유출 대상자 모두에게 연락하여 개인정보 삭제를 요청하는 등 추가 피해방지에 노력한 점, 전산 시스템상 오류가 아닌 담당자의 업무 과실에서 비롯된 점 등을 감안하여 손해배상액을 산정함",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1572&VA=content,https://datalaw.kr/mediation/#m-1572
201,2022,조정결정사례,기타 개인정보 침해,버스 내부에 설치된 영상정보처리기기의 녹음기능 사용에 대한 손해배상 등 요구,10만원,"손해배상(10만원), 재발방지 조치, 나머지 기각",피신청인 보유 버스 CCTV에 신청인 중 1인의 음성이 녹음되어 개인정보보호법 등 위반 사실이 인정되므로 음성 녹음된 신청인 1인에 대한 손해배상금 10만원 지급 및 재발방지 조치 이행 필요…,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1539&VA=content,https://datalaw.kr/mediation/#m-1539
202,2022,조정결정사례,동의 없는 개인정보 수집,동의 없는 개인정보의 이용행위에 대한 손해배상 등 요구,,기각,「개인정보 보호법」 제15조 제1항 제4호의 정보주체와의 계약의 체결 및 이행을 위하여 불가피하게 필요한 경우에 해당하므로 「개인정보 보호법」 위반 아님,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1532&VA=content,https://datalaw.kr/mediation/#m-1532
203,2022,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,신청인과 그 자녀들의 개인정보 열람 요구 거절에 대한 침해행위 중지 및 손해배상 등 요구,,"열람 조치, 나머지 기각","신청인은 재판이 진행 중으로 신청인의 열람 요구 정보 중 피해 아동 면담 자료는 신청인에게 공개될 경우 아동에게 불이익을 주고 재판 진행에 영향을 미칠 수도 있음을 감안하면 자녀들의 상담 자료에 대한 열람 요구를 거절한 피신청인의 행위는 적법함. 그러나, 신청인의 개인정보는 조사원과 면담 자료로서 신청인도 진술의 정확성을 확인할 필요가 있고, 이를 열람하였다 하여…",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1531&VA=content,https://datalaw.kr/mediation/#m-1531
204,2022,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,주민등록번호 등이 기재된 진정서를 비식별조치 없이 제공한 행위에 대한 손해배상 등 요구,,기각,"피신청인1은 사법절차를 보완하는 준사법적 기능을 수행하는 것으로, 그 과정에서 당사자의 특정을 요구하게 되므로 주민등록번호 등이 기재된 자료를 처리할 필요가 있음",제24조의2,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1530&VA=content,https://datalaw.kr/mediation/#m-1530
205,2022,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,동의 없이 기초생활수급증명서 발부 및 수급계좌를 변경한 것에 대한 손해배상 등 요구,"10만원; 100,000원","손해배상(10만원), 재발방지 조치","신청인의 수급자 지정 사실은 본인에게는 중요한 정보로서 본인 동의 없이 증명서가 발급되었다면 신청인은 그에 따른 정신적 피해를 겪었을 것으로 짐작되고, 비록 모친이 신청인의 수급자 지정 사실을 알고…",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1529&VA=content,https://datalaw.kr/mediation/#m-1529
206,2021,조정결정사례,동의 없는 개인정보 수집,동의 없는 개인정보의 수집·이용행위에 대한 손해배상 등 요구,,기각,"피신청인이 신청인의 가입정보 등 개인정보를 전산상 회원관리시스템에 등록하여 관리하고 있고, 신청인이 피신청인 A점 매장을 이용한 영수증에 '○○멤버스회원 △△△ 님으로 표기된바, 신청인이 피신청인의 회원으로 가입한 사실을 확인할 수 있음",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1538&VA=content,https://datalaw.kr/mediation/#m-1538
207,2021,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,신청인의 민원제기 정보를 제3자에게 제공한 것에 대한 손해배상 등 요구,,기각,신청인의 제기한 민원 내용은 피신청인이 B사에 위탁한 '고객 사후 서비스 업무의 대행이나 '기타 고객 편의를 위하여 필요하다고 판단되는 업무 등 위탁 범위 내에 포함된다고 보아야 하므로 피신청인의 행위는 개인정보의 제3자 제공에 해당하지 않음,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1528&VA=content,https://datalaw.kr/mediation/#m-1528
208,2021,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,"은행 업무처리 장면이 촬영된 CCTV 열람을 요청하였으나, 열람을 거부한 행위에 대한 손해배상 등 요구",8만원,기각,"피신청인은 신청인이 대리관련 서류 등을 지참하지 않아 거래시간을 특정하기 위하여 예금주의 대표자와 함께 오도록 안내하였으며, 다음날 거래시간을 특정한 후 열람 요청에 응하려고 하였음",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1520&VA=content,https://datalaw.kr/mediation/#m-1520
209,2021,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,동의 없이 회원정보를 제3자에게 제공한 행위에 대한 손해배상 요구 등,"500,000원; 300,000원","손해배상(30만원), 열람 조치","피신청인들은 제3자 앱 개발자가 ○○○서비스 친구의 개인정보를 제공받을 수 있도록 ○○○서비스를 운영하면서 이러한 사실을 ○○○서비스 이용자에게 알리거나 동의를 받지 않았으므로, 피신청인1은 「구 정보통신망법」 제24조의2 제1항을 위반하여…",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1519&VA=content,https://datalaw.kr/mediation/#m-1519
210,2021,조정결정사례,동의 없는 개인정보 수집,신청인의 개인정보를 동의 없이 수집·이용한 행위에 대한 손해배상 등 요구,"10만원; 100,000원","손해배상(10만원), 재발방지 조치","피신청인 담당자가 신청인의 개인정보 활용동의서를 임의로 작성·날인한 후 동의 사항에 대하여 신청인이 명확하게 인지할 수 있도록 알리지 않고 개인정보를 처리하였다면, 피신청인은 「개인정보 보호법」 제22조를 위반한 잘못이 있음",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1518&VA=content,https://datalaw.kr/mediation/#m-1518
211,2021,조정결정사례,동의 없는 개인정보 수집,신청인의 개인정보를 동의 없이 이용한 행위에 대한 손해배상 등 요구,,기각,"피신청인은 「상법」 제726조의2 등에 따라 자동차 사고로 인한 피해자의 손해를 보상할 책임이 있으므로, 법령상 보험금 지급의무를 준수하기 위하여 동의 없이 피해자의 개인정보를 이용할 수 있음",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1509&VA=content,https://datalaw.kr/mediation/#m-1509
212,2021,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,신청인의 개인정보 삭제 요청 거부 및 보호조치 위반에 대한 손해배상 등 요구,"10만원; 100,000원",손해배상(10만원),"피신청인이 운영하는 게시판에 등록된 정보는 피신청인에게 처리 권한이 있다고 보아야 하고, 해당 글에서 신청인의 실명이 노출되는 등 개인정보 침해가 명백하고 신청인의 삭제 요청이 있었다면 작성자와 협의를 통하여 익명 처리하거나…",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1508&VA=content,https://datalaw.kr/mediation/#m-1508
213,2021,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,개인정보의 수집 목적 외 이용 행위에 대한 손해배상 등 요구,,기각,"신청인은 전기요금의 자동이체를 위한 계좌번호의 수집·이용에 동의한 사실이 있고, 오·검침으로 인한 전기요금의 과다청구는 개인정보 보호와는 무관한 사항임",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1479&VA=content,https://datalaw.kr/mediation/#m-1479
214,2021,조정결정사례,개인정보보호 기술적·관리적·물리적 조치미비,휴대전화번호 착오 입력으로 문자 전송을 반복한 행위에 대한 손해배상 등 요구,"100,000원","손해배상(10만원), 재발방지 조치",피신청인은 개인정보가 안전하게 관리될 수 있도록 임직원 등 개인정보취급자에 대하여 적절한 관리·감독하여야 함에도 휴대전화번호 착오 입력으로 문자 전송 등을 반복함,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1478&VA=content,https://datalaw.kr/mediation/#m-1478
215,2021,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,개인정보의 수집 목적외 이용에 대한 손해배상 등 요구,,기각,"신청인은 이동전화 서비스 가입 시 휴대전화번호 등의 개인정보를 수집·이용하는데 동의하였으므로, 신청인의 동의에 근거하여 이 사건 개인정보를 처리한 피신청인은 보호법을 위반한 것이 아님",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1459&VA=content,https://datalaw.kr/mediation/#m-1459
216,2021,조정결정사례,동의 없는 개인정보 수집,신청인의 개인정보를 동의 없이 이용한 행위에 대한 손해배상 등 요구,,기각,피신청인은「상법」규정에 따라 피보험자가 자동차 사고로 인하여 발생한 손해를 보상할 책임이 있는 보험사로서 보험금 배상 의무를 준수하기 위하여 수집 목적 범위에서 개인정보를 이용할 수 있으므로 피신청인의 행위는 적법함,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1458&VA=content,https://datalaw.kr/mediation/#m-1458
217,2021,조정결정사례,기타 개인정보 침해,주민등록번호를 착오 입력한 보험회사의 행위에 대한 손해배상 등 요구,300만원,"재발방지 조치, 손해배상 기각","피신청인은 개인정보의 정확성, 완전성 및 최신성이 보장되도록 하여야 함에도 10년 4개월 동안 주민등록번호를 착오 입력한 상태로 관리함. 유사사례가 발생하지 않도록 할 필요가 있음",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1442&VA=content,https://datalaw.kr/mediation/#m-1442
218,2021,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,채권추심을 위하여 동의 없이 개인정보를 수집·이용한 것에 대한 손해배상 요구,"30만원; 300,000원","손해배상(30만원), 재발방지 조치, 일부 기각","법원 판결에 따라 이 사건 통신서비스 이용계약의 해지는 피신청인2에게 책임이 있고, 당초부터 위약금 없이 이용계약 해지가 가능하였던 것으로 보이는바, 신청인의 피신청인2에 대한 채무는 존재하지 않음. 다만, 피신청인1은 신청인이 채무부존재를 주장하고 있다는 사실을 알지 못한 채 피신청인2로부터 이 사건 위약금 추심을 위탁받은 것으로 피신청인1의 행위에 고의·과실이 있다고…",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1441&VA=content,https://datalaw.kr/mediation/#m-1441
219,2021,조정결정사례,기타 개인정보 침해,"개인정보 수집 출처 등을 미고지하고, 개인정보 이용내역도 미통지한 행위에 대한 손해배상 등 요구",100억원,"재발방지 조치, 손해배상 기각","피신청인은 신청인의 개인정보를 ○○으로부터 수집하였다고 고지해야 하나 “□□□생명 멤버십”이라고 알려주어, 수집 출처에 대해 알 수 있었던 경우가 아니므로 위법하다고 볼 수 있음",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1440&VA=content,https://datalaw.kr/mediation/#m-1440
220,2021,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,신청인의 동의 없이 개인정보가 포함된 보도자료를 배포한 행위에 대한 손해배상 요구,"1,000,000원","손해배상(100만원), 재발방지 조치",피신청인이 신청인의 민감정도 등 개인정보가 포함된 보도자료를 언론매체에 제공한 것은 □□□ 업무 본래의 개인정보 수집 목적에서 벗어난 행위로 개인정보의 제 3 자 제공에 해당함,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1439&VA=content,https://datalaw.kr/mediation/#m-1439
221,2021,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,신청인의 보험금 청구 정보를 보상업무와 관련 없는 자에게 제공한 것에 대한 손해배상 등 요구,10 만원,"손해배상(10만원), 재발방지 조치","A 직원은 영업팀에 속한 대리점 관리자이므로 개인정보 처리 범위가 고객 모집 , 계약 유지 등에 그쳐야 함. 설사 대리점 관리자에게 민원처리 권한을 부여한다고 하더라도 개인정보 전달은 민원 발생 사실이나 개요 등으로 한정되어야 함",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1438&VA=content,https://datalaw.kr/mediation/#m-1438
222,2021,조정결정사례,동의 없는 개인정보 수집,신청인이 위임한 범위를 벗어나 진료정보를 수집한 행위에 대한 손해배상 요구,30만원,"손해배상(30만원), 재발방지 조치","의료법상 위임장 및 동의서에는 수임인, 의료기관 명칭, 발급 범위 등 환자 본인이 직접 작성하도록 규정됨…",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1420&VA=content,https://datalaw.kr/mediation/#m-1420
223,2021,조정결정사례,동의 없는 개인정보 수집,신청인의 위임 범위를 벗어나 진료정보를 수집한 행위에 대한 손해배상 등 요구,"10만원; 100,000원","손해배상(10만원), 재발방지 조치","보호법 제6조에서 개인정보 보호와 관련하여 다른 법률에 특별한 규정이 있는 경우에는 다른 특별법이 우선한다고 규정. 의료법상 위임장 및 동의서에는 수임인, 의료기관 명칭, 발급 범위 등 환자 본인이 직접 작성하도록 규정됨",제6조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1419&VA=content,https://datalaw.kr/mediation/#m-1419
224,2021,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,개인정보 열람 및 가명처리 정지를 보장하는 조치 이행 요구,,열람 조치,피신청인이 수집 · 기록하는 기지국 접속정보는 신청인의 가입정보와 결합하여 특정 개인을 알아볼 수 있는 개인정보에 해당함,제36조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1409&VA=content,https://datalaw.kr/mediation/#m-1409
225,2021,조정결정사례,개인정보보호 기술적·관리적·물리적 조치미비,개인정보 유출에 대한 손해배상 등 요구,"100,000원","손해배상(10만원), 재발방지 조치","신청인의 개인정보는 피신청인의 관리 · 통제권을 벗어나 제 3 자인 △△ 선거 사무실로 전달되었고 , △△ 선거 사무실은 △△ 선거 기간 중 신청인에게 선거운동 문자메시지를 전송하였으므로 이는 개인정보 유출에 해당함",제29조 · 제34조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1408&VA=content,https://datalaw.kr/mediation/#m-1408
226,2021,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,동의 없이 개인정보를 수사기관에 제공한 행위에 대한 손해배상 등 요구,,기각,"피신청인은 ○○○법에 따라 설립된 법인으로 매년 지자체로부터 보조금 지원을 받고 있고, 지자체와 각종 복지서비스를 공동으로 처리·관리하고 있으며…",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1398&VA=content,https://datalaw.kr/mediation/#m-1398
227,2021,조정결정사례,동의 없는 개인정보 수집,신청인의 전신 모습을 촬영하여 이를 신청인 배우자에게 제공한 행위에 대한 손해배상 요구,,"재발방지 조치, 손해배상 기각",피신청인이 수집한 신청인의 전신 모습이 포함된 사진은 신청인을 알아볼 수 있는 정보로서 개인정보에 해당,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1397&VA=content,https://datalaw.kr/mediation/#m-1397
228,2020,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,모집인에게 동의 없이 신청인의 주소 등 개인정보를 유출한 행위에 대한 손해배상 등 요구,,기각,"피신청인은 A텔레콤과 영업과 용역 등 업무를 위한 위수탁 계약을 체결하여 개인정보 처리업무를 위탁하였고, 모집인은 A텔레콤과 위·수탁계약을 체결하여 개인정보 업무를 처리하고 있으므로 제3자로 볼 수 없음",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1378&VA=content,https://datalaw.kr/mediation/#m-1378
229,2020,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,동의 없이 개인정보를 수사기관에 제공한 행위에 대한 손해배상 등 요구,,기각,"공사는 「∇∇법」에 따른 공사로서 공공기관에 해당하며 수사기관에 영상정보를 제공한 것은 「개인정보 보호법」에 따른 것이므로 위법하지 않고, 카드사가 수사기관에 제공한 것은 「형사소송법」에 특별한 규정이 있으므로 「개인정보 보호법」을 위반하지 않았음",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1369&VA=content,https://datalaw.kr/mediation/#m-1369
230,2020,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,주차장 CCTV 파일을 진정사건 조사 시 증거자료로 활용한 행위에 대한 손해배상 등 요구,,재발방지 조치,"이 사건 민원은 비록 감사를 위해 공공감사법에 따른 감사계획수립 등의 형식은 갖추지 않았으나 현지조사 계획에 따라 자료제출 요구, 문답 등 감사에 필요한 자료수집을 위해 진행한 것으로 자체감사 절차의 일환으로서 공공감사법의 적용을 받음",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1350&VA=content,https://datalaw.kr/mediation/#m-1350
231,2020,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,전자금융 거래제한대상자라는 정보를 동의 없이 다른 금융기관에 전송한 행위에 대한 손해배상 등 요구,,기각,"사기피해자들이 피신청인1에게 피해구제 신청을 하면, 피신청인들은 약칭 통신사기피해환급법 등에 따라 피해자금 이동경로를 신속하게 차단하여 피해가 확산되지 않도록 관련 금융기관에 전자금융 거래제한대상자 정보를 제공해야 할 의무가 있음",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1349&VA=content,https://datalaw.kr/mediation/#m-1349
