# 출처: https://datalaw.kr/decisions/ · 기준일 2026-09-14 · 결정문 「이유」 절에서 기계 추출한 요약으로 정확성을 보증하지 않습니다. 근거로 쓰기 전에 결정문 원문을 확인하십시오 · 범위: 과징금 부과 사건 155건 중 백분율 문언이 적힌 120건, 행은 조문 단위 · 정정 요청: hyunsub.lee@seumlaw.com
의결일,안건번호,사건번호,피심인,과징금,산정 기준,조문,중대성,세부평가,1차 가중(%),1차 가중 사유,1차 감경(%),1차 감경 사유,2차 가중(%),2차 가중 사유,2차 감경(%),2차 감경 사유,사유 문언 미분류,피심인 주장 검토의견,행 주소,원문 게시물
2023-11-08,제2023-018-234호,2023조총0017 등 3건,비공개,"1,625만 원",舊 주민등록번호 유출 과징금 기준,제24조제3항,,,,,35,세부평가 점수,,,50,세부평가 점수,,,https://datalaw.kr/decisions/#mt-2023-018-234,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0529
2023-10-25,제2023-017-232호,2023조이0020 등 3건,주식회사 와이엘랜드,"1억 5,098만 7,000 원",舊 정보통신서비스 특례 과징금 기준,제29조,중대한 위반행위,,50,위반기간 2년 초과,50,최근 3년 처분 없음,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2023-017-232,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0507
2023-10-25,제2023-017-231호,2023조이0020 등 3건,㈜오브콜스,"3,371만 3,000 원",舊 정보통신서비스 특례 과징금 기준,제29조,중대한 위반행위,,50,위반기간 2년 초과,50,최근 3년 처분 없음,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2023-017-231,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0507
2023-10-25,제2023-017-230호,2023조이0020 등 3건,주식회사 자동차공임나라,"1,250만 9,000 원",舊 정보통신서비스 특례 과징금 기준,제29조,중대한 위반행위,,25,위반기간 1년 초과,50,최근 3년 처분 없음,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2023-017-230,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0507
2023-10-25,제2023-017-216호,2023조일0035,비공개,9억 600만 원,舊 정보통신서비스 특례 과징금 기준,제29조,보통 위반행위,,50,위반기간 2년 초과,50,최근 3년 처분 없음,,,10,조사 협력,,불수용 1회; 일부수용 1회,https://datalaw.kr/decisions/#mt-2023-017-216,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0505
2023-10-11,제2023-016-211호,2022조이0070 등 3건,신일전자㈜,"2억 2,400만 원",舊 정보통신서비스 특례 과징금 기준,제29조,중대한 위반행위,,50,위반기간 2년 초과,50,최근 3년 처분 없음,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2023-016-211,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0455
2023-10-11,제2023-016-210호,2022조이0070 등 3건,슈나이더일렉트릭코리아 주식회사,"799만 6,000 원",舊 정보통신서비스 특례 과징금 기준,제29조,중대한 위반행위,,50,위반기간 2년 초과,50,최근 3년 처분 없음,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2023-016-210,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0455
2023-10-11,제2023-016-207호,2022조총0066 등 6건,비공개,"3,750만 원",舊 주민등록번호 유출 과징금 기준,제24조제3항,,,,,50,세부평가 점수,,,25,인증 보유(ISMS-P 등); 세부평가 점수,,,https://datalaw.kr/decisions/#mt-2023-016-207,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0453
2023-10-11,제2023-016-203호,2022조총0066 등 6건,비공개,"5,750만 원",舊 주민등록번호 유출 과징금 기준,제24조제3항,중대한 위반행위,,,,50,세부평가 점수,,,50,세부평가 점수,,,https://datalaw.kr/decisions/#mt-2023-016-203,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0453
2023-07-26,제2023-013-179호,2023조총0008 등 14건,비공개,"1,250만 원",舊 주민등록번호 유출 과징금 기준,제24조제3항,,,,,50,세부평가 점수,,,50,세부평가 점수,,,https://datalaw.kr/decisions/#mt-2023-013-179,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0397
2023-07-26,제2023-013-178호,2023조총0008 등 14건,비공개,"1,250만 원",舊 주민등록번호 유출 과징금 기준,제24조제3항,,,,,50,세부평가 점수,,,50,세부평가 점수,,,https://datalaw.kr/decisions/#mt-2023-013-178,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0397
2023-07-26,제2023-013-177호,2023조총0008 등 14건,비공개,"1,250만 원",舊 주민등록번호 유출 과징금 기준,제24조제3항,,,,,50,세부평가 점수,,,50,세부평가 점수,,,https://datalaw.kr/decisions/#mt-2023-013-177,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0397
2023-07-26,제2023-013-176호,2023조총0008 등 14건,비공개,"1,250만 원",舊 주민등록번호 유출 과징금 기준,제24조제3항,,,,,50,세부평가 점수,,,50,세부평가 점수,,,https://datalaw.kr/decisions/#mt-2023-013-176,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0397
2023-07-26,제2023-013-175호,2023조총0008 등 14건,비공개,"1,625만 원",舊 주민등록번호 유출 과징금 기준,제24조제3항,,,,,35,세부평가 점수,,,50,세부평가 점수,,,https://datalaw.kr/decisions/#mt-2023-013-175,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0397
2023-07-26,제2023-013-174호,2023조총0008 등 14건,비공개,"1,625만 원",舊 주민등록번호 유출 과징금 기준,제24조제3항,,,,,35,세부평가 점수,,,50,세부평가 점수,,,https://datalaw.kr/decisions/#mt-2023-013-174,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0397
2023-07-26,제2023-013-173호,2023조총0008 등 14건,비공개,"1,625만 원",舊 주민등록번호 유출 과징금 기준,제24조제3항,,,,,35,세부평가 점수,,,50,세부평가 점수,,,https://datalaw.kr/decisions/#mt-2023-013-173,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0397
2023-07-26,제2023-013-172호,2023조총0008 등 14건,비공개,"1,625만 원",舊 주민등록번호 유출 과징금 기준,제24조제3항,,,,,35,세부평가 점수,,,50,인증 보유(ISMS-P 등); 세부평가 점수,,,https://datalaw.kr/decisions/#mt-2023-013-172,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0397
2023-07-26,제2023-013-171호,2023조총0008 등 14건,비공개,"1,625만 원",舊 주민등록번호 유출 과징금 기준,제24조제3항,,,,,35,세부평가 점수,,,50,세부평가 점수,,,https://datalaw.kr/decisions/#mt-2023-013-171,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0397
2023-07-26,제2023-013-170호,2023조총0008 등 14건,비공개,"2,000만 원",舊 주민등록번호 유출 과징금 기준,제24조제3항,,,,,20,세부평가 점수,,,50,인증 보유(ISMS-P 등); 세부평가 점수,,,https://datalaw.kr/decisions/#mt-2023-013-170,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0397
2023-07-26,제2023-013-155호,2021조일0028,비공개,액수 비공개,舊 정보통신서비스 특례 과징금 기준,정보통신망법 제22조,중대한 위반행위,,50,위반기간 2년 초과,,최근 3년 처분 없음,,,,,,,https://datalaw.kr/decisions/#mt-2023-013-155,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0378
2023-07-26,제2023-013-154호,2021조일0028,비공개,액수 비공개,舊 정보통신서비스 특례 과징금 기준,정보통신망법 제22조,중대한 위반행위,,50,위반기간 2년 초과; 위반 횟수,,,,,,,,,https://datalaw.kr/decisions/#mt-2023-013-154,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0378
2023-07-12,제2023-012-153호,2023조이0003,㈜엘지유플러스,"68억 45만 2,000 원",舊 정보통신서비스 특례 과징금 기준,제29조,중대한 위반행위,,50,위반기간 2년 초과,,,,,30,자진 신고,,,https://datalaw.kr/decisions/#mt-2023-012-153,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0347
2023-06-28,제2023-011-116호,2022조이0028,㈜자비스앤빌런즈,"8억 5,410만 6,000 원",舊 정보통신서비스 특례 과징금 기준,제17조,중대한 위반행위,,50; 50; 50,위반기간 2년 초과,50; 50; 50,최근 3년 처분 없음,,,20; 20; 20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2023-011-116,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0322
2023-06-28,제2023-011-115호,,비공개,액수 비공개,舊 정보통신서비스 특례 과징금 기준,제23조,,,50,위반기간 2년 초과,50,최근 3년 처분 없음,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2023-011-115,
2023-06-28,제2023-011-114호,2021조이0043 등 2건,비공개,액수 비공개,舊 정보통신서비스 특례 과징금 기준,제29조,보통 위반행위,,,,50,최근 3년 처분 없음,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2023-011-114,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0321
2023-06-28,제2023-006-056호,"2022조일0069, 2022조이0052",비공개,"11억 3,178만 6,000 원",舊 정보통신서비스 특례 과징금 기준,제29조,보통 위반행위,,,,50,최근 3년 처분 없음,,,,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2023-006-056,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0320
2023-06-14,제2023-010-112호,,비공개,액수 비공개,舊 정보통신서비스 특례 과징금 기준,정보통신망법 제28조제1항,보통 위반행위,,,,50,최근 3년 처분 없음,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2023-010-112,
2023-06-14,제2023-010-111호,,비공개,액수 비공개,舊 정보통신서비스 특례 과징금 기준,제29조,중대한 위반행위,,,,50,최근 3년 처분 없음,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2023-010-111,
2023-06-14,제2023-010-110호,,비공개,액수 비공개,舊 정보통신서비스 특례 과징금 기준,제29조,보통 위반행위,,,,50,최근 3년 처분 없음,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2023-010-110,
2023-06-14,제2023-010-108호,2022조이0086 등 3건,비공개,액수 비공개,舊 정보통신서비스 특례 과징금 기준,제29조,중대한 위반행위,,50,위반기간 2년 초과,50,최근 3년 처분 없음,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2023-010-108,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0270
2023-06-14,제2023-010-107호,2022조이0086 등 3건,비공개,액수 비공개,舊 정보통신서비스 특례 과징금 기준,제29조,보통 위반행위,,,,50,최근 3년 처분 없음,,,50,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2023-010-107,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0270
2023-05-24,제2023-009-095호,,비공개,액수 비공개,舊 정보통신서비스 특례 과징금 기준,제29조,보통 위반행위,,,,50,최근 3년 처분 없음,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2023-009-095,
2023-05-10,제2023-008-074호,202301조총0001 등 14건,비공개,"2,500만 원",舊 주민등록번호 유출 과징금 기준,제24조제3항,,,,,50,세부평가 점수,,,50,세부평가 점수,,,https://datalaw.kr/decisions/#mt-2023-008-074,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0226
2023-05-10,제2023-008-072호,2021조총0037 등 2건,비공개,"7,475만 원",舊 주민등록번호 유출 과징금 기준,귀속 미확정,중대한 위반행위,,,,35,세부평가 점수,,,50,세부평가 점수,,,https://datalaw.kr/decisions/#mt-2023-008-072,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0227
2023-04-26,제2023-007-068호,2022조일0037 등 4건,비공개,"4,875만 원",舊 주민등록번호 유출 과징금 기준,제24조제3항,,,,,35,,,,25,조사 협력; 최근 3년 처분 없음,1차,,https://datalaw.kr/decisions/#mt-2023-007-068,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0185
2023-04-12,제2023-006-065호,2022조이0038 등 10건,비공개,액수 비공개,舊 정보통신서비스 특례 과징금 기준,제22조제6항,중대한 위반행위,,50,위반기간 2년 초과,50,최근 3년 처분 없음,,,10,조사 협력,,,https://datalaw.kr/decisions/#mt-2023-006-065,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0182
2023-04-12,제2023-006-064호,2022조이0038 등 10건,비공개,액수 비공개,舊 정보통신서비스 특례 과징금 기준,제22조제6항,중대한 위반행위,,50,위반기간 2년 초과,50,최근 3년 처분 없음,,,10,조사 협력,,,https://datalaw.kr/decisions/#mt-2023-006-064,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0182
2023-04-12,제2023-006-063호,2022조이0038 등 10건,비공개,액수 비공개,舊 정보통신서비스 특례 과징금 기준,제22조제6항,중대한 위반행위,,25,위반기간 1년 초과,50,최근 3년 처분 없음,,,10,조사 협력,,,https://datalaw.kr/decisions/#mt-2023-006-063,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0182
2023-04-12,제2023-006-062호,2022조이0038 등 10건,비공개,액수 비공개,舊 정보통신서비스 특례 과징금 기준,제22조제6항,중대한 위반행위,,50,위반기간 2년 초과,50,최근 3년 처분 없음,,,10,조사 협력,,,https://datalaw.kr/decisions/#mt-2023-006-062,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0182
2023-04-12,제2023-006-059호,2022조이0038 등 10건,비공개,액수 비공개,舊 정보통신서비스 특례 과징금 기준,제29조,중대한 위반행위,,,,,,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2023-006-059,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0182
2023-04-12,제2023-006-058호,2022조이0038 등 10건,비공개,액수 비공개,舊 정보통신서비스 특례 과징금 기준,제29조,보통 위반행위,,50,위반기간 2년 초과,,,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2023-006-058,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0182
2023-03-08,제2023-004-036호,2022조이0069 등 4건,비공개,액수 비공개,舊 정보통신서비스 특례 과징금 기준,제29조,중대한 위반행위,,,,50,최근 3년 처분 없음,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2023-004-036,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0108
2023-03-08,제2023-004-035호,2022조이0069 등 4건,비공개,액수 비공개,舊 정보통신서비스 특례 과징금 기준,제29조,중대한 위반행위,,,,50,최근 3년 처분 없음,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2023-004-035,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0108
2023-03-08,제2023-004-034호,2022조이0069 등 4건,비공개,액수 비공개,舊 정보통신서비스 특례 과징금 기준,제29조,중대한 위반행위,,50,위반기간 2년 초과,50,최근 3년 처분 없음,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2023-004-034,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0108
2022-12-14,제2022-020-180호,,비공개,"413만 8,000 원",舊 정보통신서비스 특례 과징금 기준,제29조,중대한 위반행위,,,,50,최근 3년 처분 없음,,,,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2022-020-180,
2022-09-28,제2022-016-137호,,비공개,액수 비공개,舊 정보통신서비스 특례 과징금 기준,제29조,중대한 위반행위,,25,위반기간 1년 초과,50,최근 3년 처분 없음,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2022-016-137,
2022-09-14,제2022-014-105호,2021조일0028,"Meta Platforms, Inc.",308억 600만 원,舊 정보통신서비스 특례 과징금 기준,제39조의3제1항,중대한 위반행위,,50; 3,위반기간 2년 초과,,,,,,,,,https://datalaw.kr/decisions/#mt-2022-014-105,
2022-09-14,제2022-014-104호,2021조일0028,Google Limited Liability Company,"692억 4,100만 원",舊 정보통신서비스 특례 과징금 기준,제39조의3제1항,중대한 위반행위,,50,위반기간 2년 초과,50,최근 3년 처분 없음,,,,,,,https://datalaw.kr/decisions/#mt-2022-014-104,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2022-0479
2022-07-13,제2022-012-087호,2021조이0162 등 2건,비공개,액수 비공개,舊 정보통신서비스 특례 과징금 기준,제29조,중대한 위반행위,,,,50,최근 3년 처분 없음,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2022-012-087,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2022-0290
2022-06-08,제2022-010-063호,,비공개,액수 비공개,舊 정보통신서비스 특례 과징금 기준,정보통신망법 제28조,중대한 위반행위,,,,50,최근 3년 처분 없음,,,20,자진 신고,,,https://datalaw.kr/decisions/#mt-2022-010-063,
2022-05-11,제2022-008-049호,2020조이0024 등 5건,비공개,액수 비공개,舊 정보통신서비스 특례 과징금 기준,제29조,중대한 위반행위,,,,50,최근 3년 처분 없음,,,,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2022-008-049,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2022-0188
2022-05-11,제2022-008-048호,2020조이0024 등 5건,비공개,액수 비공개,舊 정보통신서비스 특례 과징금 기준,정보통신망법 제28조,보통 위반행위,,50,위반기간 2년 초과,50,최근 3년 처분 없음,,,,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2022-008-048,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2022-0188
2022-03-23,제2022-005-018호,2021조일0063 등 12건,성보공업(주),"1,250만 원",舊 주민등록번호 유출 과징금 기준,제24조의2제2항,,,,,50,,,,50,조사 협력; 최근 3년 처분 없음,1차,,https://datalaw.kr/decisions/#mt-2022-005-018,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2022-0123
2022-03-23,제2022-005-017호,2019조일0006 등 4건,㈜하우빌드,590만 원,舊 정보통신서비스 특례 과징금 기준,귀속 미확정,,,,,50,최근 3년 처분 없음,,,30,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2022-005-017,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2022-0122
2022-03-23,제2022-005-015호,2019조일0006 등 4건,Zynga Game Ireland Limited,530만 원,舊 방송통신위원회 과징금 기준,정보통신망법 제28조제1항,보통 위반행위,,,,50,최근 3년 처분 없음,,,30,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2022-005-015,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2022-0122
2022-02-23,제2022-004-013호,2021조이0152,비공개,"1억 2,979만 원",舊 정보통신서비스 특례 과징금 기준,제23조,매우 중대한 위반행위,,50,위반기간 2년 초과,50,최근 3년 처분 없음,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2022-004-013,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2022-0079
2021-08-25,제2021-013-103호,2021조일035,비공개,"2억 2,400만 원",舊 정보통신서비스 특례 과징금 기준,제39조의3제1항,중대한 위반행위,,50,위반기간 2년 초과,50,최근 3년 처분 없음,,,20,시정 완료; 조사 협력,,,https://datalaw.kr/decisions/#mt-2021-013-103,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2021-0482
2021-08-25,제2021-013-101호,2021조일033,Facebook Incorporation,"64억 4,300만 원",舊 정보통신서비스 특례 과징금 기준,정보통신망법 제22조제1항,보통 위반행위,,25,위반기간 1년 초과,50; 50,최근 3년 처분 없음,,,,,,,https://datalaw.kr/decisions/#mt-2021-013-101,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2021-0482
